name,country,state,address,reg_no,product_codes,device_names,device_class,specialty,k_numbers,source
Acero Precision,US,PA,1340 Enterprise Drive West Chester PA US 19380,3000170817,KWQ; KWP; NKB; MAX; NKG; MNH; MNI; OUR; HWC; OVD; OVE; ODP; HRS; MQP; MRW; OSH,Appliance; Fixation; Spinal Intervertebral Body; Spinal Interlaminal; Thoracolumbosacral Pedicle Screw System; Intervertebral Fusion Device With Bone Graft; Lumbar; Posterior Cervical Screw System; Orthosis; Spondylolisthesis Spinal Fixation; Spinal Pedicle Fixation; Sacroiliac Joint Fixation; Screw; Bone; Intervertebral Fusion Device With Integrated Fixation; Cervical; Plate; Spinal Vertebral Body Replacement Device; System; Facet Screw Spinal Device; Pedicle Screw Spinal System; Adolescent Idiopathic Scoliosis,2; U,Orthopedic; Unknown,,openFDA
RED STAR CONTRACT MANUFACTURING INC.,US,IN,1560 N State Road 5 Larwill IN US 46764,3009631939,JDR; HXX; HWC; HTN; HWB; HTW; HRS; JYQ; FTY; HTY; LXH; FZX; HWT; HTJ; FTD,Staple; Fixation; Bone; Screwdriver; Screw; Washer; Bolt Nut; Extractor; Bit; Drill; Plate; Loop; Wire; Tape; Measuring; Rulers And Calipers; Pin; Smooth; Orthopedic Manual Surgical Instrument; Guide; Surgical; Instrument; Template; Gauge; Depth; Lamp,2; 1,"Orthopedic; Ear, Nose, Throat; General, Plastic Surgery",,openFDA
OBERG MEDICAL PRODUCTS COMPANY,US,PA,273 N Pike Rd Sarver PA US 16055,3003639920,KWQ; OLO; HXC; JWH; HWT; NKB; MNH; KWP; MNI; KRO; OVD; MBH; ODP; MBL; LZO; MAY; LPH; MEH; GDW; JDI; KWZ; HWA; NPJ; HRY; HSX; KRR; MRW; FZX; JDW; OVE; JDC; HSD; LXH,Appliance; Fixation; Spinal Intervertebral Body; Orthopedic Stereotaxic Instrument; Wrench; Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Template; Thoracolumbosacral Pedicle Screw System; Orthosis; Spondylolisthesis Spinal Fixation; Spinal Interlaminal; Spinal Pedicle Fixation; Femorotibial; Constrained; Metal/Polymer; Intervertebral Fusion Device With Integrated Fixation; Lumbar; Patello/Femorotibial; Uncemented; Porous; Coated; Intervertebral Fusion Device With Bone Graft; Cervical; Hip; Metal/Ceramic/Polymer; Cemented Or Non-Porous; Cemented Or Non-Porous Cemented; Osteophilic Finish; Porous Uncemented; Metal / Polymer; Non-Porous; Calcium Phosphate; Staple; Implantable; Cemented Or Uncemented; Impactor; Knee Patellofemorotibial; Partial; Non-Constrained; Patello/Femoral; System; Facet Screw Spinal Device; Guide; Surgical; Instrument; Pin; Threaded; Elbow; Shoulder; Hemi-; Humeral; Metallic Uncemented; Orthopedic Manual Surgical Instrument,2; 1; U,"Orthopedic; Neurology; General, Plastic Surgery; Unknown",,openFDA
Greatbatch Medical,US,MN,2300 Berkshire Lane North Minneapolis MN US 55441,2183787,DYB; GZB; LWS; NVY; DTB; MTD; MNQ; OSR,Introducer; Catheter; Stimulator; Spinal-Cord; Implanted (Pain Relief); Implantable Cardioverter Defibrillator (Non-Crt); Permanent Defibrillator Electrodes; Permanent Pacemaker Electrode; Intracardiac Mapping; High-Density Array; Hypoglossal Nerve; Implanted; Apnea; Pacemaker/Icd/Crt Non-Implanted Components,2; 3,Cardiovascular; Neurology; Unknown,,openFDA
MEDTECH LLC,US,TN,8022 Martha Rd Millington TN US 38053,3010123256,HWC; HWR; GAD; HRS; JDR; LXH; HTD; JWH; MBH; HWA; MAX; HSN; FZT; HWM; HTZ; KTW; FZS; HWE; MNH; NKB; KWQ; MNI; OSH; KWP; HWN; HXC; MQP; GES; MBI; LWJ; MBL; LPH; HWB; HWJ; HXG; HTF; FZX; HTT; HTO; HWT; HWK; HWX; KWY; HXX; FZY; KIL; HXW; HTQ; HXI; HTW; PLF; HXB; FZO; HTN; GEG; HTE; HTJ; HTR,Screw; Fixation; Bone; Driver; Prosthesis; Retractor; Plate; Staple; Orthopedic Manual Surgical Instrument; Forceps; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Patello/Femorotibial; Uncemented; Porous; Coated; Impactor; Intervertebral Fusion Device With Bone Graft; Lumbar; Ankle; Metal/Polymer; Cutter; Surgical; Osteotome; Instrument; Cutting; Orthopedic; Appliance; Nail/Blade/Plate Combination; Single Component; Curette; General Use; Ac-Powered Motor And Accessory/Attachment; Orthosis; Spondylolisthesis Spinal Fixation; Thoracolumbosacral Pedicle Screw System; Spinal Intervertebral Body; Spinal Pedicle Fixation; Pedicle Screw Spinal System; Adolescent Idiopathic Scoliosis; Spinal Interlaminal; Compression; Wrench; Spinal Vertebral Body Replacement Device; Blade; Scalpel; Fastener; Nondegradable; Soft Tissue; Hip; Porous Uncemented; Extractor; Awl; Tamp; Guide; Burr; Reamer; Template; Trephine; Tap; Hemi-; Femoral; Cemented Or Uncemented; Screwdriver; Hammer; Positioner; Socket; Bender; Broach; Passer; Wire; Bit; Drill; Bone Wedge; Probe; Chisel; Manual; Washer; Bolt Nut; Elevator; General & Plastic Surgery; Gauge; Depth; Rasp,2; 1,"Orthopedic; General, Plastic Surgery",,openFDA
Cardinal Health,US,MN,1313 WEST GRANT BLVD. Wabasha MN US 55981,2183164,KOX; GZJ; NHI; GXY; EGJ; IKN; QON; DQK; NAM,Solvent; Adhesive Tape; Stimulator; Nerve; Transcutaneous; For Pain Relief; Electrical; Percutaneous (Pens); Electrode; Cutaneous; Device; Iontophoresis; Other Uses; Electromyograph; Diagnostic; Implanted Electrical Device Intended For Treatment Of Fecal Incontinence; Computer; Programmable; Peripheral Nerve; Non-Implanted; For Urinary Incontinence,1; 2; 3,"General, Plastic Surgery; Neurology; Physical Medicine; Gastroenterology, Urology; Cardiovascular",,openFDA
CULVER TOOL & ENGINEERING,US,IN,1901 Walter Glaub Dr Plymouth IN US 46563,3010047454,MNH; MNI; NKB; KWP; KWQ; OSH; MAX; OUR; HWC; NKG; MQP; ODP; HXX; OVD; PHM; HRS; HTO; HXG; MBI; PGM; NQW; OVE; OQG; LZO; LPH; OQI; LXH; KTT; PGN; PLR; ETN; PDQ; HAW; OLO; IKN; GWF; FSM; SBF; FLL; HWT; HWJ; NQP; HWD; HWE; HWP; JWH; HWQ; FZY; MKB; GAT; HSB; HTW; HXB; HTN; GXN; GAD; MDM; HWX; HXC; MRW; HTX; HTR; QEW; KRA,Orthosis; Spondylolisthesis Spinal Fixation; Spinal Pedicle Fixation; Thoracolumbosacral Pedicle Screw System; Appliance; Fixation; Spinal Interlaminal; Spinal Intervertebral Body; Pedicle Screw Spinal System; Adolescent Idiopathic Scoliosis; Intervertebral Fusion Device With Bone Graft; Lumbar; Sacroiliac Joint Fixation; Screw; Bone; Posterior Cervical Screw System; Spinal Vertebral Body Replacement Device; Cervical; Screwdriver; Intervertebral Fusion Device With Integrated Fixation; Thoracic; Plate; Reamer; Tamp; Fastener; Nondegradable; Soft Tissue; Growing Rod System; Spine; Laminoplasty; Metal; Hip Prosthesis; Semi-Constrained; Cemented; Metal/Polymer; + Additive; Porous; Uncemented; Prosthesis; Hip; Metal/Ceramic/Polymer; Cemented Or Non-Porous; Porous Uncemented; Metal/Ceramic/Polymer + Additive; Orthopedic Manual Surgical Instrument; Nail/Blade/Plate Combination; Multiple Component; Growing Rod System- Magnetic Actuation; Spinal Vertebral Body Replacement Device - Cervical; Stimulator; Nerve; Neurosurgical Nerve Locator; Neurological Stereotaxic Instrument; Orthopedic Stereotaxic Instrument; Electromyograph; Diagnostic; Electrical; Evoked Response; Tray; Surgical; Instrument; Orthopedic Augmented Reality; Continuous Measurement Thermometer; Template; Awl; Posterior Metal/Polymer Spinal System; Fusion; Starter; Bone Screw; Orthopedic; Ac-Powered Motor And Accessory/Attachment; Punch; Femoral Neck; Knee; Patellofemorotibial; Polymer/Metal/Polymer; Passer; Hammer; Device; Germicidal; Ultraviolet; Suture; Nonabsorbable; Synthetic; Polyethylene; Rod; Intramedullary And Accessories; Bit; Drill; Probe; Washer; Bolt Nut; Cranioplasty; Preformed; Non-Alterable; Retractor; Manual; General Use; Tap; Wrench; System; Facet Screw Spinal Device; Rongeur; Rasp; Peripheral Mechanical Thrombectomy With Aspiration; Catheter; Continuous Flush,2; 1; U,"Orthopedic; Ear, Nose, Throat; Neurology; Physical Medicine; General, Plastic Surgery; General Hospital; Unknown; Cardiovascular",,openFDA
Philips North America LLC,US,PA,1001 Murry Ridge Lane Murrysville PA US 15668,3012528160,DSI; MSX; OUG; DSH; MHX; MLD; DXG; DRQ; CCK; FLL; DSA; BZQ; DQA; DSK; CBS; KLK; DSF; NHQ; NHO; DRT; DPS; DSJ; CCL; DXN; CBR; CBQ; LKD; KOI; BZC; NHP; GWS; GWQ; MLO; MWI; GWR; KRB; DRG; DRJ; MLC; DSB; KRC; DRW; DRS; HFM; HGM; JOM; HGL; DXQ; HFN; DXH; MWJ; DQK; ORT; OLW; OLT; OMC; LPP,Detector And Alarm; Arrhythmia; System; Network And Communication; Physiological Monitors; Medical Device Data System; Recorder; Magnetic Tape; Medical; Monitor; Physiological; Patient(With Arrhythmia Detection Or Alarms); St Segment With Alarm; Computer; Diagnostic; Pre-Programmed; Single-Function; Amplifier And Signal Conditioner; Transducer Signal; Analyzer; Gas; Carbon-Dioxide; Gaseous-Phase; Continuous Measurement Thermometer; Cable; Transducer And Electrode; Patient; (Including Connector); Breathing Frequency; Oximeter; Blood-Pressure; Halothane; Gaseous-Phase (Anesthetic Conc.); Oxygen; Cutaneous; For Infant Not Under Gas Anesthesia; Paper Chart; Isoflurane; Gaseous-Phase (Anesthetic Concentration); Desflurane; Cardiac (Incl. Cardiotachometer & Rate Alarm); Full-Montage Standard Electroencephalograph; Calculator; Pulmonary Function Data; Electrocardiograph; Ambulatory; With Analysis Algorithm; Patient (Without Arrhythmia Detection Or Alarms); Enflurane; Generator; Electroencephalograph Test Signal; Probe; Thermodilution; Measurement; Non-Invasive; Alarm; Transducer; Extravascular; Uterine Contraction; External (For Use In Clinic); Monitoring; Perinatal; Transmitters And Receivers; Physiological Signal; Radiofrequency; Adaptor; Lead Switching; Telephone; Ambulatory (Without Analysis); Programmable; Burst Suppression Detection Software For Electroencephalograph; Index-Generating Electroencephalograph Software; Non-Normalizing Quantitative Electroencephalograph Software; Reduced- Montage Standard Electroencephalograph; For Uses Other Than For Infant Not Under Gas Anesthesia,2; 1,Cardiovascular; General Hospital; Anesthesiology; Neurology; Obstetrics/Gynecology,,openFDA
BRANCH MEDICAL GROUP,US,PA,475 North Lewis Road Limerick PA US 19468,3019767615,MNH; KWP; NKB; KWQ; MNI; OVE; ODP; OVD; MAX; MQP; NKG; HRS; HWC; PEK; MRW; OLO; HAW; JDS; HSB; NQP; PLR; KWI; OSH; KTT; LXT; OIY; JWH; PHM; PML,Orthosis; Spondylolisthesis Spinal Fixation; Appliance; Fixation; Spinal Interlaminal; Thoracolumbosacral Pedicle Screw System; Spinal Intervertebral Body; Spinal Pedicle Fixation; Intervertebral Fusion Device With Integrated Fixation; Cervical; Intervertebral Fusion Device With Bone Graft; Lumbar; Spinal Vertebral Body Replacement Device; Posterior Cervical Screw System; Plate; Bone; Screw; Spinous Process Plate; System; Facet Screw Spinal Device; Orthopedic Stereotaxic Instrument; Neurological Stereotaxic Instrument; Nail; Rod; Intramedullary And Accessories; Posterior Metal/Polymer Spinal System; Fusion; Spinal Vertebral Body Replacement Device - Cervical; Prosthesis; Elbow; Hemi-; Radial; Polymer; Pedicle Screw Spinal System; Adolescent Idiopathic Scoliosis; Nail/Blade/Plate Combination; Multiple Component; Metal Composite; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer + Additive/Metal/Polymer + Additive; Polymer/Metal/Polymer; Thoracic; Bone Cement; Posterior Screw Augmentation,2; U,Orthopedic; Unknown; Neurology,,openFDA
WESLACOVA,US,NC,2070 River Rd North Wilkesboro NC US 28659,3009600453,KME; KMK; KKX; FQM; KYR; HMT; IMA; NAB; MHW; IWX; ITG; POD; KIA; FMR; IQI; PUK,Bedding; Disposable; Medical; Device; Intravascular Catheter Securement; Drape; Surgical; Antimicrobial; Bandage; Elastic; Bag; Ice; Patient; Ophthalmic; Pack; Heat; Moist; Gauze / Sponge; Nonresorbable For External Use; Dressing; Compression; Barrier; Control Panel; X-Ray; Movable; Cast; Temporary; Internal Use Hemostatic; Cover; Transfer; Manual; Orthosis; Limb Brace; Administration Set Securement Device,1; 2,"General Hospital; General, Plastic Surgery; Physical Medicine; Radiology",,openFDA
