name,country,state,address,reg_no,product_codes,device_names,device_class,specialty,k_numbers,source
Acero Precision,US,PA,1340 Enterprise Drive West Chester PA US 19380,3000170817,KWQ; KWP; NKB; MAX; NKG; MNH; MNI,Appliance; Fixation; Spinal Intervertebral Body; Spinal Interlaminal; Thoracolumbosacral Pedicle Screw System; Intervertebral Fusion Device With Bone Graft; Lumbar; Posterior Cervical Screw System; Orthosis; Spondylolisthesis Spinal Fixation; Spinal Pedicle Fixation,2,Orthopedic,,openFDA
CENTRAL MEDICARE SDN BHD,MY,MY,"Plot 2609-2620, Batu 8, Jalan Changkat Jong Teluk Intan Perak MY",3008253024,LZA,Polymer Patient Examination Glove,1,General Hospital,,openFDA
RED STAR CONTRACT MANUFACTURING INC.,US,IN,1560 N State Road 5 Larwill IN US 46764,3009631939,JDR,Staple; Fixation; Bone,2,Orthopedic,,openFDA
OBERG MEDICAL PRODUCTS COMPANY,US,PA,273 N Pike Rd Sarver PA US 16055,3003639920,KWQ; OLO,Appliance; Fixation; Spinal Intervertebral Body; Orthopedic Stereotaxic Instrument,2,Orthopedic; Neurology,,openFDA
"EXCELLENT MEDICAL TECHNOLOGY (THAILAND) CO., LTD.",TH,TH,"1) 66 Moo 1, Banchang Sub-district U-Thai District Phra Nakhon Si Ayutthaya TH",3019798849,KYR,Bag; Ice,1,General Hospital,,openFDA
"DONGGUAN CITY FENGLINWAN LEISURE PRODUCTS CO., LTD.",CN,CN,"No.6 Xiaotang Industrial 1st Road, Dongkeng Town Dongguan City Guangdong CN",3020282968,IQI,Orthosis; Limb Brace,1,Physical Medicine,,openFDA
Greatbatch Medical,US,MN,2300 Berkshire Lane North Minneapolis MN US 55441,2183787,DYB; GZB,Introducer; Catheter; Stimulator; Spinal-Cord; Implanted (Pain Relief),2,Cardiovascular; Neurology,,openFDA
KARL STORZ SE & CO. KG,DE,DE,Dr.-Karl-Storz-Str. 11 TUTTLINGEN Baden-Wurttemberg DE,9610617,ENZ; ERA; OCV; HIH; HRX; OWN; FCL; OCZ; KNF; HET; GCJ; EOB; LXH; OAY; EOQ; FBO; FXF,Telescope; Laryngeal-Bronchial; Otoscope; Endoscope Holder; Hysteroscope (And Accessories); Arthroscope; Confocal Optical Imaging; Forceps; Biopsy; Non-Electric; Endoscopic Grasping/Cutting Instrument; Non-Powered; Coagulator-Cutter; Endoscopic; Unipolar (And Accessories); Laparoscope; Gynecologic (And Accessories); General & Plastic Surgery; Nasopharyngoscope (Flexible Or Rigid); Orthopedic Manual Surgical Instrument; Light Source System; Diagnostic Endoscopic; Bronchoscope (Flexible Or Rigid); Cystourethroscope; Speculum; Illuminated,2; 1; 3,"Ear, Nose, Throat; Gastroenterology, Urology; Obstetrics/Gynecology; Orthopedic; Unknown; General, Plastic Surgery",,openFDA
MEDTECH LLC,US,TN,8022 Martha Rd Millington TN US 38053,3010123256,HWC; HWR; GAD; HRS,Screw; Fixation; Bone; Driver; Prosthesis; Retractor; Plate,2; 1,"Orthopedic; General, Plastic Surgery",,openFDA
"JINGMEN HUASHENG ASIA DYNAMICS SANITARY PRODUCTS CO., LTD.",CN,CN,"East Road, Industrial Park, Jingmen City Hubei CN",3011524630,LYU; HDJ; FQM,Accessory; Surgical Apparel; Scissors; Umbilical; Bandage; Elastic,1,"General, Plastic Surgery; Obstetrics/Gynecology; General Hospital",,openFDA
Cardinal Health,US,MN,1313 WEST GRANT BLVD. Wabasha MN US 55981,2183164,KOX; GZJ; NHI,Solvent; Adhesive Tape; Stimulator; Nerve; Transcutaneous; For Pain Relief; Electrical; Percutaneous (Pens),1; 2,"General, Plastic Surgery; Neurology",,openFDA
DISPOSAFE HEALTH AND LIFE CARE LIMITED,IN,IN,Plot No 1 and 2 Phase - Il Faridabad Haryana IN,3013683058,GDX,Scalpel; One-Piece,1,"General, Plastic Surgery",,openFDA
ORTHOPLASTICS LTD,GB,GB,"Grove Mill, Todmorden Road Bacup Lancashire GB",3000264985,JWH; MBH; KWZ; OIY; PHX; KWT; HSD; KRO; LGE,Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Patello/Femorotibial; Uncemented; Porous; Coated; Hip; Constrained; Cemented Or Uncemented; Metal/Polymer; Polymer + Additive/Metal/Polymer + Additive; Shoulder Prosthesis; Reverse Configuration; Shoulder; Non-Constrained; Metal/Polymer Cemented; Hemi-; Humeral; Metallic Uncemented; Femorotibial; Trunnion-Bearing,2,Orthopedic,,openFDA
"Tylenol Medical Instruments Co., Ltd.",CN,CN,"3rd Floor, No.10, Xinhua Road, Sanjiao Town, Zhongshan Guangdong CN",3013513837,BYF,Mask; Oxygen; Low Concentration; Venturi,1,Anesthesiology,,openFDA
"HANGZHOU WISE MEDICAL DEVICE CO.,LTD",CN,CN,"Room 508, #4 Building, No.672, Xintang Road, Shangcheng District Hangzhou Zhejiang CN",3043149181,ECO; EKF; ELZ; KCR; DYT,Spring; Orthodontic; Instrument; Contouring; Matrix; Operative; Crown; Preformed; Facebow; Maintainer; Space Preformed,1,Dental,,openFDA
ELMED INSTRUMENTS (PVT). LTD.,PK,PK,"RORAS RD., NOWL CHOWK SIALKOT Punjab PK",9614062,HDF; EJE; FZS; EJY; FHQ; EJG; JOL; HCZ; GAD; EFL; GDG; KBD; EMM; GDJ; HDL; HWO; FZT; HNF; HTX; HDJ; KAI,Speculum; Vaginal; Metal; Frame; Rubber Dam; Curette; Surgical; General Use; Pliers; Operative; Holder; Needle; Gastroenterologic; Forceps; Rubber Dam Clamp; Catheter And Tip; Suction; Gynecological; Retractor; Dressing; Dental; Hook; General & Plastic Surgery; Scissors; Nasal; Chisel; Osteotome; Clamp; Skid; Bone; Cutter; Ophthalmic; Rongeur; Umbilical; Mirror; Ent,1; 2,"Obstetrics/Gynecology; Dental; General, Plastic Surgery; Gastroenterology, Urology; General Hospital; Ear, Nose, Throat; Orthopedic; Ophthalmic",,openFDA
"HAKKO CO., LTD.",JP,JP,1490 O-aza Isobe CHIKUMA-SHI Nagano JP,9611481,KGW,Ring (Wound Protector); Drape Retention; Internal,2,"General, Plastic Surgery",,openFDA
YTY INDUSTRY (MANJUNG) SDN. BHD.,MY,MY,"LOT 1422-1424, BATU 10 LEKIR SITIAWAN Perak MY",9613997,LZA; QDO; LZC,Polymer Patient Examination Glove; Fentanyl And Other Opioid  Protection Glove; Medical Glove; Specialty,1,General Hospital,,openFDA
CULVER TOOL & ENGINEERING,US,IN,1901 Walter Glaub Dr Plymouth IN US 46563,3010047454,MNH; MNI; NKB; KWP; KWQ; OSH; MAX; OUR; HWC; NKG; MQP; ODP; HXX,Orthosis; Spondylolisthesis Spinal Fixation; Spinal Pedicle Fixation; Thoracolumbosacral Pedicle Screw System; Appliance; Fixation; Spinal Interlaminal; Spinal Intervertebral Body; Pedicle Screw Spinal System; Adolescent Idiopathic Scoliosis; Intervertebral Fusion Device With Bone Graft; Lumbar; Sacroiliac Joint Fixation; Screw; Bone; Posterior Cervical Screw System; Spinal Vertebral Body Replacement Device; Cervical; Screwdriver,2; 1,Orthopedic,,openFDA
MEDITEC SOURCE GmbH & Co. KG,DE,DE,Sattlerstrasse 19 Tuttlingen-Nendingen Baden-Wurttemberg DE,3009468807,HTE; GEN; HTF,Elevator; Forceps; General & Plastic Surgery; Curette,1,"General, Plastic Surgery",,openFDA
ROMINGER MEDIZINTECHNIK GMBH,DE,DE,HOHNERSTRASSE 22 SEITINGEN-OBERFLACHT Baden-Wurttemberg DE,9614945,MDM; EMH; KAE,Instrument; Manual; Surgical; General Use; Forceps; Rongeur; Ent,1,"General, Plastic Surgery; Dental; Ear, Nose, Throat",,openFDA
Jabil Circuit Sdn. Bhd.,MY,MY,"56, Hilir Sungai Keluang 1 Bayan Lepas Pulau Pinang MY",3011246727,JJQ,Colorimeter; Photometer; Spectrophotometer For Clinical Use,1,Clinical Chemistry,,openFDA
"IPE Plastic & Hardware Industy, LTD",CN,CN,"Building 37, Shiyong Private Industy District Dongguan Guangdong CN",3015142701,IOG,Treadmill; Mechanical,1,Physical Medicine,,openFDA
Philips North America LLC,US,PA,1001 Murry Ridge Lane Murrysville PA US 15668,3012528160,DSI; MSX; OUG; DSH; MHX; MLD,Detector And Alarm; Arrhythmia; System; Network And Communication; Physiological Monitors; Medical Device Data System; Recorder; Magnetic Tape; Medical; Monitor; Physiological; Patient(With Arrhythmia Detection Or Alarms); Monitor; St Segment With Alarm,2; 1,Cardiovascular; General Hospital,,openFDA
"DEROYAL INTERCONTINENTAL, S.R.L.",DO,DO,"KM 7, Autopista Joaquin Balaguer SANTIAGO DO",3004605321,MDM; KMI; FDE,Instrument; Manual; Surgical; General Use; Monitor; Bed Patient; Laparoscopy Kit,1; 2,"General, Plastic Surgery; General Hospital; Gastroenterology, Urology",,openFDA
BRANCH MEDICAL GROUP,US,PA,475 North Lewis Road Limerick PA US 19468,3019767615,MNH; KWP; NKB; KWQ; MNI,Orthosis; Spondylolisthesis Spinal Fixation; Appliance; Fixation; Spinal Interlaminal; Thoracolumbosacral Pedicle Screw System; Spinal Intervertebral Body; Spinal Pedicle Fixation,2,Orthopedic,,openFDA
WESLACOVA,US,NC,2070 River Rd North Wilkesboro NC US 28659,3009600453,KME; KMK,Bedding; Disposable; Medical; Device; Intravascular Catheter Securement,1,General Hospital,,openFDA
"INSTRUMENTAL MACHINE & DEVELOPMENT, INC.",US,IN,2098 N. POUND DR. W. WARSAW IN US 46582,1835998,HTJ; HWX; IQI; HWB; GAC; HXG; HTF,Gauge; Depth; Tap; Bone; Orthosis; Limb Brace; Extractor; Rasp; Surgical; General & Plastic Surgery; Tamp; Curette,1,"Orthopedic; Physical Medicine; General, Plastic Surgery",,openFDA
"Zhejiang Sorfa Life Science Research Co., Ltd.",CN,CN,"No. 148 Longshan Road, Zhongguan Town Hangzhou Zhejiang CN",3006795767,KDT,Container; Specimen Mailer And Storage; Sterile,1,Pathology,,openFDA
