id,name,region,address,hours,reg_no,services,product_codes,device_classes,specialties,k_numbers,cert_no,maker,country,cert_date,cross_validated,sources
acero-precision-0,Acero Precision,PA,1340 Enterprise Drive West Chester PA US 19380,,3000170817,Appliance; Fixation; Spinal Intervertebral Body; Spinal Interlaminal; Thoracolumbosacral Pedicle Screw System; Intervertebral Fusion Device With Bone Graft; Lumbar; Posterior Cervical Screw System; Orthosis; Spondylolisthesis Spinal Fixation; Spinal Pedicle Fixation,KWQ; KWP; NKB; MAX; NKG; MNH; MNI,2,Orthopedic,,,,US,,false,openfda
almark-tool-manufacturing-company-inc-72,"ALMARK TOOL & MANUFACTURING COMPANY, INC.",NJ,27 South Ave Garwood NJ US 07027,,3010041693,Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Patello/Femorotibial; Uncemented; Porous; Coated; Hip; Hemi-; Femoral; Metal,JWH; MBH; KWL,2,Orthopedic,,,,US,,false,openfda
atl-technology-cr-limitada-143,ATL Technology CR Limitada,CR,Flexipark Industrial Park Alajuela CR,,3012263546,Tubing And Tubing/Filter Fits,NVT,1,Obstetrics/Gynecology,,,,CR,,false,openfda
martech-medical-products-s-de-rl-de-cv-229,MARTECH MEDICAL PRODUCTS S. DE RL. DE CV.,MX,CALLE MERCURIO N 46 MEXICALI Baja California MX,,3003915875,Introducer; Catheter; Wire; Guide; Intravascular; Therapeutic; Long-Term Greater Than 30 Days; Peritoneal; Port & Catheter; Implanted; Subcutaneous; Needle; Surgical; Stent; Ureteral; Subclavian; Graft; Vascular; Stainless Steel Tunneler; Midline Catheter; Hemodialysis; Non-Coring (Huber) Needle,DYB; DQX; LJS; GBW; LJT; GDF; FAD; LFJ; MZY; PND; MSD; PTI,2; 1,"Cardiovascular; General Hospital; General, Plastic Surgery; Gastroenterology, Urology",,,,MX,,false,openfda
dreamtech-co-ltd-354,"DREAMTECH CO., LTD.",KR,"161, Asanbaelli-Ro 388 Beon-Gil, Eumbong-Myeon Asan-si Chungnam KR",,3014848734,Electrocardiograph,DPS,2,Cardiovascular,,,,KR,,false,openfda
sanmina-sci-systems-singapore-pte-ltd-535,Sanmina-SCI Systems Singapore Pte. Ltd.,SG,2 Chai Chee Drive SINGAPORE North East SG,,3006606827,Monitor; Physiological; Patient(With Arrhythmia Detection Or Alarms); Patient (Without Arrhythmia Detection Or Alarms); Ventilatory Effort Recorder,MHX; MWI; MNR,2,Cardiovascular; Anesthesiology,,,,SG,,false,openfda
engineered-medical-systems-llc-714,"Engineered Medical Systems, LLC",TN,3325 Appling Rd Bartlett TN US 38133,,3009973336,Intervertebral Fusion Device With Bone Graft; Lumbar; Orthopedic Stereotaxic Instrument; Manual Instruments Designed For Use With Non-Fusion Spinous Process Spacer Devices; Tamp; Prosthesis; Ankle; Semi-Constrained; Cemented; Metal/Polymer,MAX; OLO; QLR; HXG; HSN,2; 1,Orthopedic; Neurology,,,,US,,false,openfda
medisurge-879,Medisurge,MI,2140 Oak Industrial Dr. NE Grand Rapids MI US 49505,,3004986960,Catheter; Cannula And Tubing; Vascular; Cardiopulmonary Bypass; Clamp; Surgical; General & Plastic Surgery; Lavage; Jet; System; Thermal Regulating,DWF; GDJ; FQH; DWJ,2; 1,"Cardiovascular; General, Plastic Surgery; General Hospital",,,,US,,false,openfda
visio-industria-e-comercio-de-equipamentos-ltda-1033,VISIO INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,BR,"Rua Olinda, 245 Sao Paulo BR",,3042251366,Chair; With Casters,INM,1,Physical Medicine,,,,BR,,false,openfda
andersen-industries-co-ltd-1134,"ANDERSEN INDUSTRIES CO., LTD.",KH,National Road.4 Angsnoul District Kandal KH,,3015960676,Gown; Surgical; Drape; Antimicrobial; Accessory; Surgical Apparel,FYA; KKX; LYU,2; 1,"General, Plastic Surgery",,,,KH,,false,openfda
xiamen-world-gear-sports-goods-co-ltd-1227,"XIAMEN WORLD GEAR SPORTS GOODS CO., LTD",CN,27-29 NORTH 2ND ROAD XIAMEN Fujian CN,,3004168774,Lift; Patient; Ac-Powered,FNG,2,General Hospital,,,,CN,,false,openfda
quang-nam-medical-devices-factory-branch-of-danameco-medical-1360,QUANG NAM MEDICAL DEVICES FACTORY BRANCH OF DANAMECO MEDICAL JOINT STOCK CORPORATION,VN,"Trang Nhat 2 Industrial Cluster, Dien Ban Bac Ward Da Nang VN",,3016970619,Face Mask Within The Scope Of The Face Mask And Barrier Face Covering Enforcement Policy Or Face Mask Umbrella Eua; Suit; Surgical,QKR; FXO,N; 1,"Unknown; General, Plastic Surgery",,,,VN,,false,openfda
rite-smile-labs-1529,RITE SMILE LABS,CN,Room 310 3F Building C Baoke  Industrial Shenzhenzs Inner Mongolia CN,,3010996864,Dentures; Partial,NSK,N,Unknown,,,,CN,,false,openfda
arch-medical-solutions-warsaw-1680,ARCH Medical Solutions - Warsaw,IN,2070 N Cessna Rd Warsaw IN US 46582,,3009971621,Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Thoracolumbosacral Pedicle Screw System; Appliance; Fixation; Spinal Interlaminal; Screw; Bone; Cerclage; Plate; Shoulder; Non-Constrained; Metal/Polymer Cemented; Hemi-; Humeral; Metallic Uncemented,JWH; NKB; KWP; HWC; JDQ; HRS; KWT; HSD,2,Orthopedic,,,,US,,false,openfda
vizor-ortopedi-medikal-urunleri-pazarlama-ithalat-ihracat-sa-1874,VIZOR ORTOPEDI MEDIKAL URUNLERI PAZARLAMA ITHALAT IHRACAT SANAYI VE TICARET LTD STI,TR,"K.3, NO:26B HALKALI MERKEZ MAHALLESI SEHIT ISMET CAVUS SOKAK DEREBOYU CADDESI, KUCUKCEKMECE Istanbul TR",,3033436414,Orthosis; Cervical; Protector; Skin Pressure; Cervical-Thoracic; Rigid,IQK; FMP; IQF,1,Physical Medicine; General Hospital,,,,TR,,false,openfda
jiangsu-hongxin-medical-technology-co-ltd-2039,"JIANGSU HONGXIN MEDICAL TECHNOLOGY CO, LTD.",CN,East Side of Jinhua Road Shuyang City Jiangsu CN,,3016685983,Accessory; Surgical Apparel,LYU,1,"General, Plastic Surgery",,,,CN,,false,openfda
mesco-inc-2230,"MESCO, INC.",PH,"Reliance cor. Brixton Sts., Kapitoyo Pasig City National Capital Region PH",,3009662565,Plate; Fixation; Bone,HRS,2,Orthopedic,K040112,,,PH,,false,openfda
toppan-teq-llc-2383,TOPPAN TEQ LLC,IL,11287 Kiley Drive Huntley IL US 60142,,1450758,Continuous Measurement Thermometer,FLL,2,General Hospital,,,,US,,false,openfda
rpi-biosolutions-2559,RPI BIOSOLUTIONS,IL,300 TERRACE DR. SUITE A Mundelein IL US 60060,,3025663244,Reagents; 2019-Novel Coronavirus Nucleic Acid,QJR,N,Unknown,,,,US,,false,openfda
spang-brands-gmbh-2744,SPANG & BRANDS GMBH,DE,Max-Planck-Str. 25 Friedrichsdorf Hesse DE,,3002558847,Dispenser; Cement,KIH,1,Orthopedic,,,,DE,,false,openfda
hangzhou-fuyang-hongwei-metal-product-limited-company-2938,HANGZHOU FUYANG HONGWEI METAL PRODUCT LIMITED COMPANY,CN,"Liaoan Village, Wanshi Town Hangzhou City Zhejiang CN",,3006553621,Bed; Manual,FNJ,1,General Hospital,,,,CN,,false,openfda
dentauspex-corporation-3136,Dentauspex Corporation,TW,"No.37, Sec. 3, Yunke Road Douliu Yunlin TW",,3017833095,Accessories; Implant; Dental; Endosseous; Abutment,NDP; NHA,1; 2,Dental,,,,TW,,false,openfda
jiundar-industrial-co-ltd-3347,"JIUNDAR INDUSTRIAL CO., LTD.",TW,"NO.9, ALLEY 2, LANE 252 SHULIN CITY Taipei TW",,3003855936,Cover; Mattress (Medical Purposes),FMW,1,General Hospital,,,,TW,,false,openfda
the-e-f-precision-group-3534,The E F PRECISION GROUP,PA,2301 Computer Rd WILLOW GROVE PA US 19090,,2531195,Tap; Bone; Intervertebral Fusion Device With Integrated Fixation; Lumbar; Intervertebral Fusion Device With Bone Graft,HWX; OVD; MAX,1; 2,Orthopedic,,,,US,,false,openfda
mehow-medical-m-sdn-bhd-3740,MEHOW MEDICAL (M) SDN. BHD.,MY,"No.1056, Jalan Perindustrian Bukit Minyak 8, Kawasan Perindustrian Bukit Minyak, Penang Science Park Simpang Ampat Pulau Pinang MY",,3031869923,Ventilator; Non-Continuous (Respirator),BZD,2,Anesthesiology,,,,MY,,false,openfda
